time,zone,id,index,name,x,y,z,distance
2026-03-18 05:03:50,134,17326800,720,"Somnial Threshold",-262.000,-414.000,-40.875,18.95
2026-03-18 05:03:59,134,17326357,277,"Vanguard Enchanter",-256.537,-360.377,-39.181,28.75
2026-03-18 05:04:03,134,17326358,278,"Vanguard Pathfinder",-257.910,-349.363,-39.588,34.24
2026-03-18 05:04:04,134,17326359,279,"Vanguard's Slime",-257.938,-349.449,-39.624,34.15
2026-03-18 05:04:07,134,17326354,274,"Vanguard Smithy",-249.642,-350.657,-40.000,34.71
2026-03-18 05:04:10,134,17326356,276,"Vanguard Shaman",-247.895,-350.967,-39.995,33.38
2026-03-18 05:04:12,134,17326355,275,"Vanguard Pitfighter",-249.416,-341.818,-39.523,32.04
2026-03-18 05:04:13,134,17326360,280,"Vanguard Maestro",-249.968,-335.927,-39.607,32.23
2026-03-18 05:04:13,134,17326465,385,"Goblin Replica",-249.521,-335.239,-39.676,33.05
2026-03-18 05:04:14,134,17326364,284,"Vanguard Shaman",-262.836,-324.581,-39.171,33.43
2026-03-18 05:04:16,134,17326361,281,"Vanguard Enchanter",-273.814,-318.816,-39.887,29.41
2026-03-18 05:04:17,134,17326362,282,"Vanguard Welldigger",-278.620,-311.071,-39.754,32.23
2026-03-18 05:04:17,134,17326363,283,"Vanguard Armorer",-266.784,-308.622,-40.229,33.04
2026-03-18 05:04:20,134,17326365,285,"Vanguard Armorer",-286.077,-298.030,-39.306,29.73
2026-03-18 05:04:20,134,17326367,287,"Vanguard Ambusher",-286.721,-292.876,-39.773,34.62
2026-03-18 05:04:22,134,17326366,286,"Vanguard Maestro",-300.338,-289.805,-40.076,33.28
2026-03-18 05:04:22,134,17326368,288,"Vanguard Necromancer",-299.256,-288.686,-40.202,33.37
2026-03-18 05:04:22,134,17326369,289,"Vanguard's Avatar",-296.225,-286.218,-39.301,33.44
2026-03-18 05:08:26,134,17326372,292,"Vanguard Smithy",-255.856,-160.429,-39.214,34.28
2026-03-18 05:08:27,134,17326373,293,"Vanguard Smithy",-250.703,-168.292,-39.641,34.97
2026-03-18 05:08:42,134,17326371,291,"Vanguard Armorer",-250.222,-171.645,-40.099,34.94
2026-03-18 05:08:49,134,17326370,290,"Vanguard Welldigger",-241.089,-179.280,-39.036,32.74
2026-03-18 05:08:53,134,17326378,298,"Vanguard Pitfighter",-225.183,-186.591,-40.000,30.10
2026-03-18 05:08:54,134,17326376,296,"Vanguard Hitman",-213.630,-189.432,-40.000,34.98
2026-03-18 05:08:55,134,17326375,295,"Vanguard Ronin",-227.306,-201.885,-39.531,29.62
2026-03-18 05:08:55,134,17326377,297,"Vanguard Pitfighter",-214.729,-197.452,-39.327,33.14
2026-03-18 05:09:03,134,17326810,730,"???",-174.000,-220.000,-40.250,32.66
2026-03-18 05:09:04,134,17326388,308,"Vanguard Smithy",-167.134,-210.970,-39.808,29.85
2026-03-18 05:09:04,134,17326389,309,"Vanguard Enchanter",-163.082,-202.953,-40.000,32.41
2026-03-18 05:09:04,134,17326390,310,"Vanguard Alchemist",-165.480,-200.978,-39.926,29.98
2026-03-18 05:09:04,134,17326802,722,"???",-170.314,-178.112,-59.900,34.37
2026-03-18 05:09:06,134,17326391,311,"Vanguard Necromancer",-155.197,-208.833,-39.839,29.49
2026-03-18 05:09:06,134,17326392,312,"Vanguard's Avatar",-154.437,-212.602,-39.774,31.48
